indicator_id,name,measure,how_calculated,source_list
331,Non-Hodgkin's Lymphomas,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;non-Hodgkin&rsquo;s lymphoma&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
319,Acute Myeloid Leukemia,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with acute myeloid leukemia cancer over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
333,Thyroid Cancer,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;thyroid cancer&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
325,Chronic Lymphocytic Leukemia,Age Adjusted Rate - Total,"<p>Average&nbsp;annual&nbsp;number of residents diagnosed with&nbsp;chronic lymphocytic leukemia&nbsp;over the 5 year period, divided by the corresponding age-specific intercensal population estimates (from NYS DOH). The resulting age-specific rates are multiplied by the proportion of the US Census 2000 standard population in each age group. Average age-adjusted rate is the sum of these weighted rates; expressed as cases per 100,000 residents.</p>",New York State Cancer Registry
365,Fine Particulate Matter (PM2.5),Mean,"<p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period. The results were then assigned to the appropriate NYC neighborhood and averaged. In NYC, fine particulate matter is measured in units of micrograms per cubic meter of air.</p>",New York City Community Air Survey
370,Black Carbon,Mean,"<p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period. The results were then assigned to the appropriate NYC neighborhood and averaged. Black carbon levels are estimated using a method that measures <a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/Glossary.aspx#Absorbance"" target=""_blank"">absorbance</a>.</p>",New York City Community Air Survey
375,Nitrogen Dioxide (NO2),Mean,<p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period. The results were then assigned to the appropriate NYC neighborhood and averaged. The gaseous pollutants in NYC are measured in units of parts per billion.</p>,New York City Community Air Survey
383,Sulfur Dioxide (SO2),Mean,"<p>Data collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period. The results were then smoothed using GIS, assigned to the appropriate NYC neighborhood, and averaged. The gaseous pollutants in NYC are measured in units of parts per billion.</p>",New York City Community Air Survey
386,Ozone (O3),Mean,"<p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period. The results were then assigned to the appropriate NYC neighborhood and averaged. In NYC, ozone is measured in units of parts per billion (ppb).</p>",New York City Community Air Survey
391,Nitric Oxide (NO),Mean,"Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period.  The results were then assigned to the appropriate NYC neighborhood and averaged. In NYCCAS, nitric oxide is measured in units of parts per billion (ppb).",New York City Community Air Survey
394,Nitric Oxide (NO),10th Percentile,"Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period.  The results were then assigned to the appropriate NYC neighborhood and the 10th percentile determined.  In NYCCAS, nitric oxide is measured in units of parts per billion (ppb).",New York City Community Air Survey
389,Ozone (O3),10th Percentile,"<p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specified time period. The results were then assigned to the appropriate NYC neighborhood and the 10th percentile determined. In NYC, ozone is measured in units of parts per billion (ppb).</p>",New York City Community Air Survey
384,Sulfur Dioxide (SO2),10th Percentile,<p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specific time period. The results were then assigned to the appropriate NYC neighborhood and the 10th percentile identified. The gaseous pollutants in NYC are measured in units of parts per billion.</p>,New York City Community Air Survey
378,Nitrogen Dioxide (NO2),10th Percentile,<p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specific time period. The results were then assigned to the appropriate NYC neighborhood and the 10th percentile identified. The gaseous pollutants in NYC are measured in units of parts per billion.</p>,New York City Community Air Survey
373,Black Carbon,10th Percentile,"<p>Air samples collected at specific NYCCAS monitoring sites along with information about emissions sources were incorporated into a statistical model that predicted pollutant concentrations at all locations in NYC for the specific time period. The results were then assigned to the appropriate NYC neighborhood, and the 10th percentile identified. Black carbon levels are estimated using a method that measures <a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/Glossary.aspx#Absorbance"" target=""_blank"">absorbance</a>.</p>",New York City Community Air Survey
